Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm All,-0.005852802,0.002469121,-0.101272574,0.030500748,-4.99268E-05,0.000288657,-0.000591399,0.000344064
Warm Female,-0.00421645,0.002959,-0.08827411,0.03670093,-0.000176653,0.000344565,-0.000276488,0.000412801
Warm Male,-0.007143595,0.002877584,-0.11141398,0.03546819,5.28411E-05,0.000337209,-0.000838178,0.000400427
Cold All,-0.000290805,0.003509422,0.02651354,0.02527774,-0.000185767,0.000444145,-0.000295643,0.000388091
Cold Female,0.006551621,0.004476448,0.06138915,0.03214814,2.5563E-05,0.000564636,1.76478E-05,0.000496321
Cold Male,-0.006126287,0.003763072,-0.00353359,0.02719862,-0.000365082,0.00047826,-0.000563085,0.000415725
Age 0-10 All,-0.000346125,0.004116103,-0.01219243,0.03900467,0.000731469,0.000491667,-0.000635125,0.000521397
Age 0-10 Female,0.001709253,0.005713821,0.04650066,0.05390671,0.000259231,0.000681973,-0.000384045,0.000725491
Age 0-10 Male,-0.0018139,0.00501912,-0.05483443,0.04777806,0.001069588,0.000599931,-0.000810448,0.000634814
Age 11-60 All,-0.003943743,0.002219719,-0.02330081,0.0206099,-0.000127947,0.000265688,-0.000459647,0.000278545
Age 11-60 Female,0.001341339,0.002959757,0.01759168,0.02729553,-0.000114967,0.000352646,9.55018E-07,0.000370908
Age 11-60 Male,-0.007655271,0.002490014,-0.05273347,0.02323365,-0.000134272,0.000299194,-0.000784284,0.000312883
Age 60+All,-0.002065216,0.003438063,-0.007163996,0.031836774,4.28368E-06,0.000410229,-0.000364509,0.000430859
Age 60+ Female,-0.001633498,0.004088719,-0.02294234,0.03778964,0.000168783,0.000488275,-0.000446933,0.000512688
Age 60+ Male,-0.002725012,0.00474923,0.01735007,0.04407673,-0.000247469,0.000565908,-0.000238116,0.000594694
All: LAG 9,-0.003415795,0.002073198,-0.004800537,0.019238517,0.000154285,0.000248133,-0.000532799,0.000259817
Female,-0.003204799,0.002589834,0.00303921,0.02396242,3.12999E-05,0.000308832,-0.000629842,0.000324478
Male,-0.003592756,0.002300709,-0.01133884,0.02140667,0.000256966,0.000276119,-0.000453973,0.000288433
Warm All,-0.005886487,0.002486074,-0.095170712,0.030776337,0.000136245,0.000291223,-0.000539187,0.000344745
Warm Female,-0.007267209,0.002986337,-0.101029421,0.037228529,-0.000230086,0.000348735,-0.000759441,0.000414807
Warm Male,-0.004793981,0.002890342,-0.09054552,0.0356607,0.00043027,0.000339002,-0.000364817,0.000400081
Cold All,-0.001502079,0.003494188,0.04271446,0.02512591,-6.90961E-05,0.000442478,-0.000487335,0.000387289
Cold Female,0.000355318,0.004467072,0.05604552,0.03208158,0.000138845,0.000562353,-0.000484481,0.000495939
Cold Male,-0.003087929,0.003748247,0.03121686,0.0269956,-0.000248399,0.000477074,-0.000490638,0.000415024
Age 0-10 All,0.000583291,0.004121528,-0.03721057,0.03923434,0.001364561,0.000493704,-5.06351E-05,0.000519555
Age 0-10 Female,-0.000661222,0.005728146,-0.03351053,0.05448976,0.000986657,0.000684735,-0.000319493,0.00072374
Age 0-10 Male,0.001506653,0.005024944,-0.03981939,0.04789058,0.001639912,0.000603253,0.000145192,0.000632394
Age 11-60 All,-0.003571826,0.002226749,-0.002477472,0.020607425,1.74345E-06,0.000266741,-0.000557275,0.00027896
Age 11-60 Female,-0.002890803,0.002973956,0.01581734,0.02742107,-0.000196089,0.000354529,-0.000530671,0.000372252
Age 11-60 Male,-0.004060624,0.002497158,-0.01557622,0.02318116,0.00014423,0.000300077,-0.00057695,0.000313077
Age 60+All,-0.00550769,0.003451209,0.005880517,0.031815637,-6.04503E-05,0.000411148,-0.000752757,0.000431646
Age 60+ Female,-0.005208599,0.004112669,-0.01377259,0.03781542,0.000173156,0.000489902,-0.001016428,0.000514915
Age 60+ Male,-0.00596571,0.004755167,0.03629297,0.04396745,-0.000416773,0.000566291,-0.000353569,0.000593723
All: LAG 10,-0.000126101,0.002077891,0.01983973,0.01930164,2.67857E-05,0.000248422,-0.000299534,0.000259972
Female,8.47128E-06,0.002599888,0.01448397,0.02408436,3.87614E-05,0.000309899,-0.00038678,0.000324882
Male,-0.000242072,0.00230535,0.02418086,0.02147227,1.76717E-05,0.000276294,-0.000229047,0.000288753
Warm All,-0.004902514,0.002490306,-0.07923199,0.03103531,-4.97587E-05,0.00029094,-0.000510841,0.000344968
Warm Female,-0.007843423,0.002994435,-0.121881689,0.037478976,-8.53555E-05,0.000349206,-0.000977557,0.000415142
Warm Male,-0.002577416,0.002901508,-0.04576689,0.03608451,-2.20569E-05,0.000339381,-0.000143382,0.0004015
Cold All,0.005086485,0.003485767,0.072970288,0.025073678,-0.000201217,0.000441667,-3.26859E-05,0.000385909
Cold Female,0.008986659,0.004464711,0.08386591,0.03213668,-0.000138419,0.000563206,0.000213941,0.000494762
Cold Male,0.001772201,0.003740949,0.06370712,0.02693339,-0.000255762,0.000475817,-0.000241975,0.000413721
Age 0-10 All,0.005664527,0.004141417,0.007148573,0.039392398,0.001304679,0.000495393,-0.000032381,0.000522013
Age 0-10 Female,0.00815179,0.005750017,0.001747217,0.054699223,0.001747048,0.0006858,-0.000116268,0.000724965
Age 0-10 Male,0.003887305,0.005059021,0.01101487,0.04816994,0.00098405,0.000606697,2.84127E-05,0.000637439
Age 11-60 All,-0.000771515,0.002231306,0.02061858,0.02067307,-0.000102242,0.00026701,-0.000237817,0.000279012
Age 11-60 Female,-4.39486E-05,0.002987101,0.02926034,0.0275606,-3.23441E-05,0.000356171,-0.000176289,0.000372816
Age 11-60 Male,-0.00129854,0.002500691,0.01431573,0.02325181,-0.000150095,0.000300015,-0.000283335,0.000313132
Age 60+All,-0.001546919,0.003473011,0.02447103,0.03211167,-0.000311418,0.00041341,-0.000691514,0.000433579
Age 60+ Female,-0.003543647,0.004133797,-0.0170688,0.03819202,-0.000532639,0.000491918,-0.001029075,0.000516243
Age 60+ Male,0.001485158,0.004782522,0.08820724,0.04424637,2.5225E-05,0.000569511,-0.000177725,0.00059689
All: LAG 11,0.000946293,0.002075721,0.01562001,0.01945623,-2.38226E-05,0.000247475,-0.000317249,0.000259182
Female,0.000981902,0.002596833,0.02073483,0.02424253,-4.41809E-05,0.000309001,-0.00044007,0.000323919
Male,0.000910933,0.00230489,0.01135469,0.02168987,-7.04697E-06,0.000275233,-0.000216327,0.00028806
Warm All,-0.001866593,0.002482946,-0.04691471,0.03133377,-9.18217E-05,0.000287105,-0.000439641,0.000343725
Warm Female,-0.004863454,0.002994353,-0.07878257,0.03786957,-0.000168438,0.00034564,-0.000918809,0.000415219
Warm Male,0.000511579,0.002889053,-0.02170616,0.03646185,-3.09909E-05,0.000334654,-6.13525E-05,0.000399422
Cold All,0.00296,0.00348747,0.05008547,0.02527863,-0.000240071,0.000444165,-0.000146418,0.000383975
Cold Female,0.006648915,0.004458905,0.07087531,0.03233621,-0.000132261,0.000566521,1.99851E-05,0.000491513
Cold Male,-0.000225755,0.003749822,0.03224268,0.02719052,-0.000334478,0.000478719,-0.000291149,0.000412514
Age 0-10 All,0.004274627,0.004143461,-0.01213355,0.03976603,0.000709765,0.000493552,-0.000470315,0.000521586
Age 0-10 Female,0.004487283,0.005751838,-0.002707097,0.055222621,0.000664192,0.000684747,-0.000659936,0.000724055
Age 0-10 Male,0.004117169,0.005063126,-0.01913286,0.04858157,0.000744913,0.000603391,-0.000335062,0.000637351
Age 11-60 All,0.000723432,0.0022294,0.01600346,0.0208538,-9.78272E-05,0.00026613,-0.000161903,0.000278096
Age 11-60 Female,0.001148804,0.002983766,0.02812297,0.02777749,-4.47472E-05,0.000355088,-0.000227908,0.000371721
Age 11-60 Male,0.000404796,0.002501157,0.007323865,0.023507549,-0.000135704,0.000299221,-0.000116326,0.000312284
Age 60+All,-0.00039565,0.003468656,0.03034304,0.03223589,-0.00021224,0.00041175,-0.000783406,0.000432596
Age 60+ Female,-0.001016222,0.004123843,0.01190113,0.0382563,-0.00034934,0.000490334,-0.000870267,0.000514144
Age 60+ Male,0.000557123,0.004787181,0.05907158,0.04459964,-4.74456E-06,0.000566797,-0.000650091,0.000597602
All: LAG 12,-0.000166408,0.002079631,0.00140208,0.01955379,-6.61784E-05,0.00024749,-0.000273967,0.000259297
Female,0.001159076,0.002601476,0.01570811,0.02432062,-0.000217463,0.000309154,-0.000183306,0.000324068
Male,-0.001271822,0.002307107,-0.01067284,0.02179819,5.94777E-05,0.000274895,-0.000350137,0.000287906
Warm All,-0.002951344,0.002502348,-0.087855691,0.03176801,1.98933E-05,0.000287328,-0.000433465,0.000346126
Warm Female,-0.005224146,0.003015627,-0.120819289,0.03827724,-4.87325E-05,0.000345445,-0.000849738,0.000418206
Warm Male,-0.001160033,0.002906939,-0.06200261,0.03694734,7.49844E-05,0.000334421,-0.000107169,0.000401207
Cold All,0.00284892,0.003495821,0.04665484,0.02538801,-0.000482893,0.00044648,-7.45614E-05,0.000384457
Cold Female,0.008478564,0.00446327,0.07897289,0.03243134,-0.000706919,0.000569873,0.000432503,0.000491234
Cold Male,-0.00204226,0.003749585,0.01882611,0.02724861,-0.000290508,0.000479525,-0.000514194,0.000412109
Age 0-10 All,0.000237533,0.004155848,-0.03671103,0.04010507,0.00098311,0.00049296,-0.000759919,0.000523078
Age 0-10 Female,-0.003650737,0.005763564,-0.06916534,0.0557258,0.001438258,0.000683396,-0.001253098,0.000726178
Age 0-10 Male,0.003033622,0.005078792,-0.01354917,0.04894018,0.00065383,0.000602926,-0.00040701,0.000638953
Age 11-60 All,0.000538035,0.002233163,0.00807192,0.02095597,-0.000178968,0.000266346,-0.000122488,0.000278105
Age 11-60 Female,0.002106074,0.002987143,0.03073255,0.02783897,-0.000616387,0.000355544,3.63383E-05,0.000371589
Age 11-60 Male,-0.000598689,0.002503944,-0.008361817,0.023620571,0.000131425,0.000299026,-0.000237861,0.000312071
Age 60+All,-0.003007393,0.003468595,-0.000191849,0.03229061,-0.00032156,0.00041012,-0.00051488,0.00043198
Age 60+ Female,0.000834055,0.004124504,0.01275735,0.03823696,3.93552E-05,0.000488216,-0.000267301,0.000512987
