Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm Female,0.005462,0.005270,0.027686,0.049135,0.001095,0.000660,0.000217,0.000656
Warm Male,-0.006919,0.004950,-0.088772,0.046409,0.000557,0.000621,-0.001706,0.000615
Cold All,-0.006593,0.004319,-0.083058,0.039960,0.000245,0.000463,-0.001086,0.000560
Cold Female,-0.004837,0.005565,-0.140603,0.051459,0.001508,0.000594,-0.001111,0.000723
Cold Male,-0.008291,0.005498,-0.027297,0.050892,-0.000986,0.000590,-0.001062,0.000712
Age 0-10 All,0.004929,0.011288,-0.054798,0.105872,0.002620,0.001321,-0.000657,0.001414
Age 0-10 Female,0.002682,0.016376,-0.175924,0.154218,0.003765,0.001895,-0.000807,0.002055
Age 0-10 Male,0.006948,0.014823,0.046195,0.138564,0.001623,0.001753,-0.000515,0.001854
Age 11-60 All,-0.001801,0.004159,-0.033472,0.038790,0.000378,0.000492,-0.000579,0.000521
Age 11-60 Female,0.003761,0.005800,-0.008585,0.054006,0.001411,0.000684,-0.000014,0.000728
Age 11-60 Male,-0.006772,0.005492,-0.055735,0.051314,-0.000551,0.000650,-0.001082,0.000689
Age 60+All,-0.008112,0.006499,-0.097505,0.060489,0.000397,0.000763,-0.001623,0.000817
Age 60+ Female,-0.005468,0.008658,-0.077510,0.080392,0.000214,0.001017,-0.000989,0.001092
Age 60+ Male,-0.011108,0.009225,-0.120059,0.086128,0.000599,0.001084,-0.002341,0.001158
All: LAG 12,-0.002889,0.003555,-0.052369,0.033214,0.000242,0.000418,-0.000723,0.000445
Female,0.003016,0.004864,-0.028840,0.045337,0.000605,0.000571,-0.000225,0.000610
Male,-0.008427,0.004653,-0.074555,0.043601,-0.000102,0.000549,-0.001189,0.000582
Warm All,-0.002308,0.004140,-0.075452,0.038921,0.000904,0.000518,-0.000958,0.000515
Warm Female,0.003769,0.005255,-0.037935,0.049278,0.001106,0.000657,-0.000132,0.000654
Warm Male,-0.007939,0.004957,-0.110569,0.046740,0.000716,0.000621,-0.001723,0.000616
Cold All,-0.003965,0.004328,-0.004714,0.039891,-0.000598,0.000462,-0.000163,0.000559
Cold Female,0.003478,0.005586,0.003230,0.051363,0.000060,0.000595,0.000074,0.000722
Cold Male,-0.011131,0.005514,-0.012561,0.050954,-0.001235,0.000589,-0.000393,0.000711
Age 0-10 All,-0.003247,0.011261,-0.073637,0.106428,0.001175,0.001328,-0.001560,0.001403
Age 0-10 Female,0.011501,0.016363,0.031022,0.154306,0.002039,0.001930,-0.000755,0.002042
Age 0-10 Male,-0.015333,0.014774,-0.161679,0.139877,0.000475,0.001743,-0.002204,0.001838
Age 11-60 All,-0.001757,0.004165,-0.005571,0.038892,-0.000237,0.000491,-0.000442,0.000521
