Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+ Male,-0.010331,0.013673,0.152196,0.121355,-0.002255,0.001624,0.001015,0.001688
All: LAG 10,-0.001566,0.005389,0.018123,0.048313,-0.000265,0.000641,-0.000053,0.000671
Female,-0.000311,0.006739,-0.000408,0.060434,-0.000110,0.000804,0.000000,0.000839
Male,-0.003444,0.008040,0.045985,0.072048,-0.000497,0.000952,-0.000137,0.001001
Warm All,-0.008073,0.005803,0.022480,0.052024,-0.001688,0.000738,-0.000577,0.000717
Warm Female,-0.005799,0.007001,-0.043074,0.062788,-0.000662,0.000891,-0.000762,0.000865
Warm Male,-0.011526,0.008314,0.123950,0.074362,-0.003268,0.001055,-0.000286,0.001025
Cold All,0.007238,0.006065,0.003583,0.054099,0.001251,0.000656,0.000438,0.000776
Cold Female,0.007215,0.007419,0.063896,0.066072,0.000398,0.000804,0.000986,0.000948
Cold Male,0.007380,0.008588,-0.082063,0.076728,0.002470,0.000926,-0.000337,0.001099
Age 0-10 All,0.033934,0.028044,0.306065,0.252715,-0.002128,0.003317,0.004189,0.003525
Age 0-10 Female,-0.027909,0.038271,0.089467,0.361250,-0.003319,0.004483,-0.000484,0.004862
Age 0-10 Male,0.086554,0.036319,0.466337,0.315959,-0.001302,0.004331,0.008077,0.004522
Age 11-60 All,-0.000501,0.006256,0.003664,0.056211,-0.000211,0.000743,-0.000214,0.000779
Age 11-60 Female,0.002202,0.007935,0.001105,0.071214,-0.000087,0.000946,-0.000063,0.000988
Age 11-60 Male,-0.004967,0.009836,0.007925,0.088571,-0.000414,0.001162,-0.000468,0.001227
Age 60+All,-0.007285,0.009248,0.021796,0.082477,-0.000201,0.001104,-0.000096,0.001149
Age 60+ Female,-0.003784,0.012145,-0.009448,0.108306,0.000089,0.001452,0.000232,0.001509
Age 60+ Male,-0.011801,0.013726,0.065604,0.122388,-0.000607,0.001633,-0.000515,0.001704
All: LAG 11,-0.005695,0.005416,0.016980,0.048740,-0.000865,0.000637,-0.000340,0.000676
Female,-0.001782,0.006770,0.003044,0.060685,-0.000390,0.000799,0.000137,0.000844
Male,-0.011558,0.008089,0.038349,0.073201,-0.001570,0.000947,-0.001063,0.001010
Warm All,-0.012539,0.005827,0.020036,0.052503,-0.001619,0.000729,-0.001304,0.000722
Warm Female,-0.007272,0.007021,-0.030998,0.063011,-0.000470,0.000881,-0.000344,0.000870
Warm Male,-0.020663,0.008369,0.100974,0.075771,-0.003378,0.001042,-0.002789,0.001038
Cold All,0.003479,0.006085,-0.000110,0.054448,-0.000012,0.000656,0.000835,0.000778
Cold Female,0.005204,0.007445,0.047454,0.066361,-0.000369,0.000804,0.000535,0.000950
Cold Male,0.001012,0.008622,-0.068898,0.077559,0.000485,0.000927,0.001271,0.001105
Age 0-10 All,0.031995,0.028229,0.271595,0.256215,-0.002047,0.003295,0.003570,0.003572
Age 0-10 Female,0.023813,0.037940,0.297345,0.354485,-0.002760,0.004428,0.006175,0.004809
Age 0-10 Male,0.041611,0.036956,0.259125,0.327700,-0.001172,0.004311,0.001660,0.004672
Age 11-60 All,-0.007517,0.006291,0.010209,0.056661,-0.001165,0.000739,-0.000804,0.000785
Age 11-60 Female,0.001036,0.007975,0.043809,0.071466,-0.000636,0.000942,-0.000158,0.000993
Age 11-60 Male,-0.021493,0.009899,-0.046477,0.089934,-0.002002,0.001154,-0.001882,0.001239
Age 60+All,-0.005386,0.009280,0.007397,0.083248,-0.000100,0.001096,0.000300,0.001156
Age 60+ Female,-0.009965,0.012187,-0.112473,0.108969,0.000399,0.001441,0.000450,0.001520
Age 60+ Male,0.001000,0.013783,0.173245,0.124188,-0.000791,0.001627,0.000139,0.001713
