G40-G47,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+ Male,0.000900557,0.018278539,0.2799977,0.1706722,-0.002394275,0.002154169,-0.000727661,0.00228548
All: LAG 12,0.000981219,0.006456476,-0.000469619,0.060444039,-0.000297126,0.000754007,-0.000253949,0.000806221
Female,0.001407919,0.007980144,-0.005839599,0.074543805,-0.000330889,0.0009351,0.00032458,0.000994412
Male,0.000281229,0.010145197,0.008900591,0.095140027,-0.000260089,0.001178648,-0.00116477,0.001270793
Warm All,-0.003398381,0.00622448,-0.11426672,0.07888334,-7.94E-05,0.000699557,-0.001214409,0.000876077
Warm Female,-0.001756693,0.007639611,-0.16458775,0.09656217,9.62E-06,0.000863666,-0.000171947,0.001069699
Warm Male,-0.006009038,0.009660989,-0.03645656,0.12256922,-0.000195248,0.001075888,-0.00291766,0.001371369
Cold All,0.008684098,0.006752275,0.0579418,0.05016286,-0.000812053,0.000844337,0.000486861,0.000744366
Cold Female,0.008719119,0.008425476,0.06972759,0.06238894,-0.000761995,0.001052527,0.000674983,0.000929192
Cold Male,0.008625888,0.010747196,0.04157234,0.08021341,-0.000916446,0.001345786,0.000218991,0.001183568
Age 0-10 All,0.02117195,0.03136219,-0.03646376,0.29282422,0.001676244,0.003619319,0.005922445,0.003904508
Age 0-10 Female,0.03161611,0.04181439,0.05161264,0.39954588,0.003017396,0.004785502,0.008874008,0.005149326
Age 0-10 Male,0.01773129,0.04019366,-0.06820546,0.36931878,0.000766586,0.004671418,0.004314365,0.005064041
Age 11-60 All,-0.001159457,0.007557353,-0.005911587,0.070718106,-0.000379855,0.000884105,-0.000852267,0.00094214
Age 11-60 Female,0.005575468,0.009386321,0.06322873,0.08740383,-0.000263537,0.001105328,0.000314025,0.001166926
Age 11-60 Male,-0.01303759,0.01231253,-0.129504,0.1160889,-0.00057911,0.001424698,-0.00291082,0.001542622
Age 60+All,0.003619335,0.012173165,0.01766175,0.11416418,-0.000379057,0.00141738,0.000474524,0.001527409
Age 60+ Female,-0.01463927,0.01611999,-0.2267864,0.1518373,-0.000913269,0.001866226,-0.000581273,0.00202729
Age 60+ Male,0.0264246,0.01818242,0.32766119,0.16970424,0.000236666,0.002132748,0.001783576,0.002274888
All: LAG 13,-0.002346394,0.006439197,-0.01972037,0.06007581,-0.000535718,0.000755212,-0.000294241,0.000801489
Female,0.007610285,0.007951997,-0.0149489,0.07414954,0.00096736,0.000935583,0.000764099,0.000987376
Male,-0.01797602,0.01013572,-0.02706895,0.0946039,-0.002870473,0.001182674,-0.00197359,0.001266626
Warm All,-0.004096154,0.006251465,0.031334,0.07827463,-0.00129158,0.000708592,-0.00047904,0.000872699
