Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Cold All,-0.003818,0.004151,-0.036776,0.037879,-0.000095,0.000446,0.000054,0.000522
Cold Female,-0.000324,0.005071,0.001672,0.046352,-0.000015,0.000545,0.000674,0.000638
Cold Male,-0.007054,0.005202,-0.072634,0.047281,-0.000167,0.000558,-0.000534,0.000654
Age 0-10 All,0.011272,0.031644,0.272134,0.282022,0.002727,0.003700,0.001911,0.003952
Age 0-10 Female,0.029956,0.044090,-0.283298,0.395581,0.003151,0.005141,0.004295,0.005514
Age 0-10 Male,-0.003452,0.038343,0.610885,0.341318,0.002273,0.004484,0.000201,0.004782
Age 11-60 All,-0.002461,0.005079,0.000562,0.046631,0.000310,0.000611,0.000114,0.000626
Age 11-60 Female,0.002146,0.007132,0.008033,0.065582,0.000858,0.000854,0.000850,0.000879
Age 11-60 Male,-0.005849,0.006291,-0.004509,0.057702,-0.000106,0.000760,-0.000438,0.000775
Age 60+All,-0.002855,0.003736,-0.068763,0.034073,0.000759,0.000450,-0.000392,0.000460
Age 60+ Female,0.000940,0.004764,-0.005845,0.043243,0.000784,0.000573,-0.000145,0.000587
Age 60+ Male,-0.006813,0.005086,-0.136099,0.046584,0.000732,0.000613,-0.000649,0.000626
Air Pollutant:,AQHIX,,NO2,,O3H8,,SO2,
All: LAG 0,0.010298,0.002207,0.002209,0.000383,0.000156,0.000256,0.000844,0.001006
Female,0.008123,0.002799,0.001904,0.000486,-0.000054,0.000323,-0.000668,0.001428
Male,0.012332,0.002829,0.002495,0.000491,0.000353,0.000328,0.002248,0.001195
Warm All,0.010236,0.002715,0.002555,0.000472,-0.000234,0.000317,0.000213,0.001004
Warm Female,0.007810,0.003161,0.002016,0.000550,-0.000255,0.000368,-0.000462,0.001478
Warm Male,0.012486,0.003161,0.003056,0.000550,-0.000215,0.000369,0.000847,0.001218
Cold All,0.010873,0.002701,0.001650,0.000465,0.000852,0.000305,0.003604,0.000964
Cold Female,0.008482,0.003314,0.001696,0.000571,0.000235,0.000374,-0.003283,0.001360
Cold Male,0.013186,0.003390,0.001609,0.000584,0.001445,0.000382,0.010171,0.001141
