Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Warm Female,0.000752,0.003924,-0.085240,0.048442,0.001050,0.000452,-0.000130,0.000540
Warm Male,0.005416,0.004006,-0.018921,0.049485,0.000829,0.000461,0.000398,0.000551
Cold All,-0.005221,0.003407,-0.057303,0.024683,0.000803,0.000429,-0.000834,0.000375
Cold Female,-0.003112,0.004636,-0.041625,0.033647,0.001302,0.000585,-0.000753,0.000510
Cold Male,-0.007207,0.004468,-0.071830,0.032327,0.000337,0.000562,-0.000914,0.000492
Age 0-10 All,-0.078467,0.035073,-0.577531,0.300318,0.009148,0.004227,-0.012099,0.004348
Age 0-10 Female,-0.120225,0.046600,-0.731006,0.397733,0.003352,0.005703,-0.020589,0.005924
Age 0-10 Male,-0.056156,0.040719,-0.513486,0.349588,0.012294,0.004870,-0.007734,0.004984
Age 11-60 All,0.000589,0.003361,-0.049532,0.030647,0.001018,0.000400,-0.000232,0.000415
Age 11-60 Female,0.000004,0.004667,-0.052317,0.042410,0.001436,0.000556,-0.000352,0.000575
Age 11-60 Male,0.001115,0.004458,-0.047052,0.040679,0.000656,0.000529,-0.000125,0.000551
Age 60+All,-0.009985,0.007349,-0.104839,0.067546,0.000172,0.000867,-0.000924,0.000909
Age 60+ Female,-0.010476,0.009838,-0.090943,0.090784,0.000018,0.001158,-0.000566,0.001212
Age 60+ Male,-0.009303,0.010742,-0.120224,0.098421,0.000341,0.001269,-0.001357,0.001336
All: LAG 14,-0.003389,0.003110,-0.048658,0.028351,0.000345,0.000371,-0.000488,0.000384
Female,-0.006126,0.004248,-0.093995,0.038631,0.000502,0.000508,-0.000609,0.000523
Male,-0.000876,0.004189,-0.007012,0.038164,0.000202,0.000499,-0.000379,0.000519
Warm All,0.001897,0.002880,-0.004580,0.035197,0.000326,0.000334,-0.000335,0.000396
Warm Female,-0.004943,0.003930,-0.075346,0.047779,0.000044,0.000457,-0.000860,0.000539
Warm Male,0.008082,0.004005,0.059390,0.048929,0.000577,0.000463,0.000139,0.000552
Cold All,-0.008374,0.003389,-0.060061,0.024701,0.000224,0.000428,-0.000625,0.000374
Cold Female,-0.004864,0.004626,-0.094585,0.033786,0.001142,0.000584,-0.000449,0.000509
Cold Male,-0.011656,0.004437,-0.028104,0.032290,-0.000632,0.000559,-0.000789,0.000490
Age 0-10 All,-0.059738,0.034686,-0.184337,0.291194,-0.001531,0.004250,-0.005831,0.004196
Age 0-10 Female,-0.082841,0.045732,-0.253053,0.380588,-0.006399,0.005757,-0.010603,0.005562
Age 0-10 Male,-0.046072,0.040450,-0.152362,0.341062,0.001184,0.004883,-0.003007,0.004876
Age 11-60 All,-0.003024,0.003358,-0.045498,0.030588,0.000378,0.000401,-0.000445,0.000415
Age 11-60 Female,-0.005295,0.004666,-0.090297,0.042337,0.000592,0.000559,-0.000612,0.000575
Age 11-60 Male,-0.001020,0.004449,-0.005992,0.040576,0.000194,0.000530,-0.000296,0.000550
Age 60+All,-0.003214,0.007335,-0.060054,0.067249,0.000227,0.000869,-0.000496,0.000907
Age 60+ Female,-0.008107,0.009809,-0.106388,0.090316,0.000242,0.001164,-0.000278,0.001205
Age 60+ Male,0.002758,0.010728,-0.003439,0.098012,0.000191,0.001269,-0.000794,0.001336
Air Pollutant:,AQHIX,,NO2,,O3H8,,SO2,
All: LAG 0,0.001479,0.002077,0.000460,0.000365,-0.000118,0.000236,-0.001021,0.001933
Female,0.000793,0.002865,0.000447,0.000502,-0.000272,0.000326,-0.002414,0.002652
Male,0.002110,0.002802,0.000473,0.000493,0.000021,0.000318,0.000282,0.002621
Warm All,0.003165,0.001911,0.000827,0.000423,0.000166,0.000185,-0.000172,0.002265
Warm Female,0.003282,0.002633,0.001005,0.000581,0.000105,0.000256,-0.001637,0.003111
Warm Male,0.003069,0.002643,0.000667,0.000586,0.000221,0.000256,0.001179,0.003142
Cold All,0.000136,0.002302,0.000406,0.000329,-0.001235,0.000373,-0.001272,0.001724
