Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 60+All,0.002395,0.003430,0.007962,0.031528,0.000580,0.000410,-0.000037,0.000430
Age 60+ Female,0.004901,0.004082,0.007404,0.037518,0.000757,0.000488,0.000001,0.000511
Age 60+ Male,-0.001450,0.004739,0.008575,0.043533,0.000310,0.000564,-0.000095,0.000594
All:LAG 8,-0.003142,0.002067,-0.018792,0.019234,0.000000,0.000247,-0.000462,0.000260
Female,0.000642,0.002577,0.010456,0.023840,-0.000001,0.000307,-0.000155,0.000323
Male,-0.006229,0.002297,-0.043234,0.021464,0.000003,0.000275,-0.000713,0.000289
Warm All,-0.005853,0.002469,-0.101273,0.030501,-0.000050,0.000289,-0.000591,0.000344
Warm Female,-0.004216,0.002959,-0.088274,0.036701,-0.000177,0.000345,-0.000276,0.000413
Warm Male,-0.007144,0.002878,-0.111414,0.035468,0.000053,0.000337,-0.000838,0.000400
Cold All,-0.000291,0.003509,0.026514,0.025278,-0.000186,0.000444,-0.000296,0.000388
Cold Female,0.006552,0.004476,0.061389,0.032148,0.000026,0.000565,0.000018,0.000496
Cold Male,-0.006126,0.003763,-0.003534,0.027199,-0.000365,0.000478,-0.000563,0.000416
Age 0-10 All,-0.000346,0.004116,-0.012192,0.039005,0.000731,0.000492,-0.000635,0.000521
Age 0-10 Female,0.001709,0.005714,0.046501,0.053907,0.000259,0.000682,-0.000384,0.000725
Age 0-10 Male,-0.001814,0.005019,-0.054834,0.047778,0.001070,0.000600,-0.000810,0.000635
Age 11-60 All,-0.003944,0.002220,-0.023301,0.020610,-0.000128,0.000266,-0.000460,0.000279
Age 11-60 Female,0.001341,0.002960,0.017592,0.027296,-0.000115,0.000353,0.000001,0.000371
Age 11-60 Male,-0.007655,0.002490,-0.052733,0.023234,-0.000134,0.000299,-0.000784,0.000313
Age 60+All,-0.002065,0.003438,-0.007164,0.031837,0.000004,0.000410,-0.000365,0.000431
Age 60+ Female,-0.001633,0.004089,-0.022942,0.037790,0.000169,0.000488,-0.000447,0.000513
Age 60+ Male,-0.002725,0.004749,0.017350,0.044077,-0.000247,0.000566,-0.000238,0.000595
All:LAG 9,-0.003416,0.002073,-0.004801,0.019239,0.000154,0.000248,-0.000533,0.000260
Female,-0.003205,0.002590,0.003039,0.023962,0.000031,0.000309,-0.000630,0.000324
Male,-0.003593,0.002301,-0.011339,0.021407,0.000257,0.000276,-0.000454,0.000288
Warm All,-0.005886,0.002486,-0.095171,0.030776,0.000136,0.000291,-0.000539,0.000345
Warm Female,-0.007267,0.002986,-0.101029,0.037229,-0.000230,0.000349,-0.000759,0.000415
Warm Male,-0.004794,0.002890,-0.090546,0.035661,0.000430,0.000339,-0.000365,0.000400
Cold All,-0.001502,0.003494,0.042714,0.025126,-0.000069,0.000442,-0.000487,0.000387
Cold Female,0.000355,0.004467,0.056046,0.032082,0.000139,0.000562,-0.000484,0.000496
Cold Male,-0.003088,0.003748,0.031217,0.026996,-0.000248,0.000477,-0.000491,0.000415
Age 0-10 All,0.000583,0.004122,-0.037211,0.039234,0.001365,0.000494,-0.000051,0.000520
Age 0-10 Female,-0.000661,0.005728,-0.033511,0.054490,0.000987,0.000685,-0.000319,0.000724
Age 0-10 Male,0.001507,0.005025,-0.039819,0.047891,0.001640,0.000603,0.000145,0.000632
Age 11-60 All,-0.003572,0.002227,-0.002477,0.020607,0.000002,0.000267,-0.000557,0.000279
Age 11-60 Female,-0.002891,0.002974,0.015817,0.027421,-0.000196,0.000355,-0.000531,0.000372
Age 11-60 Male,-0.004061,0.002497,-0.015576,0.023181,0.000144,0.000300,-0.000577,0.000313
Age 60+All,-0.005508,0.003451,0.005881,0.031816,-0.000060,0.000411,-0.000753,0.000432
Age 60+ Female,-0.005209,0.004113,-0.013773,0.037815,0.000173,0.000490,-0.001016,0.000515
Age 60+ Male,-0.005966,0.004755,0.036293,0.043967,-0.000417,0.000566,-0.000354,0.000594
All:LAG 10,-0.000126,0.002078,0.019840,0.019302,0.000027,0.000248,-0.000300,0.000260
Female,0.000008,0.002600,0.014484,0.024084,0.000039,0.000310,-0.000387,0.000325
Male,-0.000242,0.002305,0.024181,0.021472,0.000018,0.000276,-0.000229,0.000289
Warm All,-0.004903,0.002490,-0.079232,0.031035,-0.000050,0.000291,-0.000511,0.000345
Warm Female,-0.007843,0.002994,-0.121882,0.037479,-0.000085,0.000349,-0.000978,0.000415
Warm Male,-0.002577,0.002902,-0.045767,0.036085,-0.000022,0.000339,-0.000143,0.000401
Cold All,0.005086,0.003486,0.072970,0.025074,-0.000201,0.000442,-0.000033,0.000386
Cold Female,0.008987,0.004465,0.083866,0.032137,-0.000138,0.000563,0.000214,0.000495
Cold Male,0.001772,0.003741,0.063707,0.026933,-0.000256,0.000476,-0.000242,0.000414
Age 0-10 All,0.005665,0.004141,0.007149,0.039392,0.001305,0.000495,-0.000032,0.000522
Age 0-10 Female,0.008152,0.005750,0.001747,0.054699,0.001747,0.000686,-0.000116,0.000725
Age 0-10 Male,0.003887,0.005059,0.011015,0.048170,0.000984,0.000607,0.000028,0.000637
Age 11-60 All,-0.000772,0.002231,0.020619,0.020673,-0.000102,0.000267,-0.000238,0.000279
