Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 10,-0.002560,0.002078,-0.026717,0.032298,0.000019,0.000432,-0.000176,0.000447
Female,-0.003591,0.002600,-0.021857,0.036388,-0.000156,0.000487,-0.000389,0.000505
Male,-0.001442,0.002305,-0.031823,0.035805,0.000208,0.000478,0.000054,0.000495
Warm All,0.001891,0.002490,-0.008372,0.037905,-0.000251,0.000359,0.000384,0.000429
Warm Female,0.000134,0.002994,-0.024110,0.043563,-0.000474,0.000413,0.000062,0.000495
Warm Male,0.003796,0.002902,0.008671,0.043491,-0.000011,0.000411,0.000732,0.000490
Cold All,-0.007248,0.003486,-0.028460,0.029795,0.000144,0.000530,-0.000557,0.000462
Cold Female,-0.007746,0.004465,-0.014481,0.033103,-0.000016,0.000590,-0.000678,0.000513
Cold Male,-0.006700,0.003741,-0.043294,0.032249,0.000314,0.000573,-0.000425,0.000499
Age 0-10 All,0.004900,0.004141,0.054582,0.062991,0.002018,0.000899,0.000438,0.000903
Age 0-10 Female,-0.015115,0.005750,-0.129068,0.091810,0.002276,0.001305,-0.002223,0.001320
Age 0-10 Male,0.020093,0.005059,0.194609,0.081814,0.001827,0.001174,0.002459,0.001170
Age 11-60 All,-0.003384,0.002231,-0.055843,0.034478,0.000207,0.000460,-0.000440,0.000477
Age 11-60 Female,-0.003067,0.002987,-0.042904,0.040779,0.000076,0.000543,-0.000478,0.000565
Age 11-60 Male,-0.003713,0.002501,-0.069385,0.040053,0.000349,0.000534,-0.000399,0.000554
Age 60+All,-0.002511,0.003473,0.005029,0.043117,-0.000690,0.000571,0.000161,0.000593
Age 60+ Female,-0.002359,0.004134,0.031848,0.049605,-0.000920,0.000660,0.000085,0.000684
Age 60+ Male,-0.002677,0.004783,-0.026506,0.052625,-0.000428,0.000693,0.000252,0.000722
All: LAG 11,0.001144,0.002076,-0.003861,0.032424,0.000511,0.000431,0.000087,0.000450
Female,-0.000651,0.002597,0.001710,0.036525,0.000427,0.000485,-0.000228,0.000507
Male,0.003084,0.002305,-0.009860,0.035907,0.000602,0.000477,0.000426,0.000498
Warm All,0.002100,0.002483,-0.029832,0.038324,0.000295,0.000355,-0.000149,0.000427
Warm Female,-0.002011,0.002994,-0.061974,0.044113,-0.000039,0.000408,-0.000698,0.000492
Warm Male,0.006536,0.002889,0.004593,0.043767,0.000656,0.000406,0.000442,0.000488
Cold All,0.000519,0.003487,0.011474,0.029800,0.000701,0.000534,0.000282,0.000468
Cold Female,0.001494,0.004459,0.034328,0.033039,0.000938,0.000593,0.000162,0.000519
