OrdO,Health,Lag,AP,BETA,SEBETA,PVALUE,Sign,SignP,,,,,,,,,,,,,,,,
1901,MenMF61,10,EAQHI,0.00075166,0.007331002,0.918340924,0,0,,,,,,,,,,,,,,,,
2021,MenF61,10,EAQHI,-0.012294978,0.009852623,0.212160634,0,0,,,,,,,,,,,,,,,,
2141,MenM61,10,EAQHI,0.0166953,0.01066054,0.11742533,0,0,,,,,,,,,,,,,,,,
102,MenA,11,EAQHI,0.003415484,0.003111939,0.272484936,0,0,,,,,,,,,,,,,,,,
222,MenF,11,EAQHI,-0.000770136,0.004258397,0.856495582,0,0,,,,,,,,,,,,,,,,
342,MenM,11,EAQHI,0.007210368,0.00418616,0.085085713,0,0,,,,,,,,,,,,,,,,
462,MenAW,11,EAQHI,0.006768853,0.002860026,0.018004615,1,1,,,,,,,,,,,,,,,,
582,MenFW,11,EAQHI,0.000347672,0.003930467,0.929519946,0,0,,,,,,,,,,,,,,,,
702,MenMW,11,EAQHI,0.012533496,0.003976908,0.001638575,1,1,,,,,,,,,,,,,,,,
822,MenAC,11,EAQHI,-0.000295306,0.003413625,0.931067821,0,0,,,,,,,,,,,,,,,,
942,MenFC,11,EAQHI,-0.001261384,0.004656727,0.786505358,0,0,,,,,,,,,,,,,,,,
1062,MenMC,11,EAQHI,0.000619746,0.004453702,0.889337781,0,0,,,,,,,,,,,,,,,,
1182,MenMF10,11,EAQHI,-0.01276076,0.03475224,0.71349902,0,0,,,,,,,,,,,,,,,,
1302,MenF10,11,EAQHI,-0.0339152,0.04677326,0.46844347,0,0,,,,,,,,,,,,,,,,
1422,MenM10,11,EAQHI,-0.001740704,0.040007912,0.965298443,0,0,,,,,,,,,,,,,,,,
1542,MenMF60,11,EAQHI,0.004000639,0.00335965,0.233821871,0,0,,,,,,,,,,,,,,,,
1662,MenF60,11,EAQHI,-0.000114623,0.00467362,0.980434857,0,0,,,,,,,,,,,,,,,,
1782,MenM60,11,EAQHI,0.007562248,0.004449544,0.089309133,0,0,,,,,,,,,,,,,,,,
1902,MenMF61,11,EAQHI,0.000543134,0.007347895,0.94108093,0,0,,,,,,,,,,,,,,,,
2022,MenF61,11,EAQHI,-0.003371243,0.009876751,0.732876101,0,0,,,,,,,,,,,,,,,,
2142,MenM61,11,EAQHI,0.005323967,0.010685704,0.61835339,0,0,,,,,,,,,,,,,,,,
103,MenA,12,EAQHI,0.00040376,0.003113684,0.896833292,0,0,,,,,,,,,,,,,,,,
223,MenF,12,EAQHI,0.001355299,0.004251709,0.749924376,0,0,,,,,,,,,,,,,,,,
343,MenM,12,EAQHI,-0.000478868,0.004194647,0.909116582,0,0,,,,,,,,,,,,,,,,
463,MenAW,12,EAQHI,0.00244482,0.00286337,0.39326355,0,0,,,,,,,,,,,,,,,,
583,MenFW,12,EAQHI,0.000624837,0.003919651,0.873354496,0,0,,,,,,,,,,,,,,,,
703,MenMW,12,EAQHI,0.004080999,0.003989328,0.306393051,0,0,,,,,,,,,,,,,,,,
823,MenAC,12,EAQHI,-0.001096772,0.003420508,0.74849907,0,0,,,,,,,,,,,,,,,,
943,MenFC,12,EAQHI,0.004582185,0.004659264,0.325455017,0,0,,,,,,,,,,,,,,,,
1063,MenMC,12,EAQHI,-0.006374657,0.004471983,0.154117704,0,0,,,,,,,,,,,,,,,,
1183,MenMF10,12,EAQHI,-0.005132328,0.034873621,0.88300739,0,0,,,,,,,,,,,,,,,,
1303,MenF10,12,EAQHI,0.01570087,0.04670497,0.73676318,0,0,,,,,,,,,,,,,,,,
1423,MenM10,12,EAQHI,-0.01561863,0.04032025,0.69851152,0,0,,,,,,,,,,,,,,,,
1543,MenMF60,12,EAQHI,0.001496355,0.00336124,0.656219388,0,0,,,,,,,,,,,,,,,,
1663,MenF60,12,EAQHI,0.00226351,0.004669051,0.627857509,0,0,,,,,,,,,,,,,,,,
1783,MenM60,12,EAQHI,0.000805984,0.004455453,0.856458452,0,0,,,,,,,,,,,,,,,,
1903,MenMF61,12,EAQHI,-0.00603431,0.007356884,0.412146576,0,0,,,,,,,,,,,,,,,,
2023,MenF61,12,EAQHI,-0.003523643,0.009844566,0.720420376,0,0,,,,,,,,,,,,,,,,
2143,MenM61,12,EAQHI,-0.008978512,0.010751694,0.403734035,0,0,,,,,,,,,,,,,,,,
104,MenA,13,EAQHI,-0.00136685,0.003114304,0.660767167,0,0,,,,,,,,,,,,,,,,
224,MenF,13,EAQHI,-0.002244516,0.004249161,0.597378387,0,0,,,,,,,,,,,,,,,,
344,MenM,13,EAQHI,-0.000557056,0.00419925,0.894473523,0,0,,,,,,,,,,,,,,,,
464,MenAW,13,EAQHI,0.003181866,0.002873882,0.26830291,0,0,,,,,,,,,,,,,,,,
584,MenFW,13,EAQHI,0.000751997,0.003924153,0.848041518,0,0,,,,,,,,,,,,,,,,
704,MenMW,13,EAQHI,0.005415601,0.004006298,0.176541365,0,0,,,,,,,,,,,,,,,,
824,MenAC,13,EAQHI,-0.005221297,0.003406564,0.125442037,0,0,,,,,,,,,,,,,,,,
944,MenFC,13,EAQHI,-0.003112362,0.00463637,0.502081175,0,0,,,,,,,,,,,,,,,,
1064,MenMC,13,EAQHI,-0.007207182,0.004467687,0.10680152,0,0,,,,,,,,,,,,,,,,
1184,MenMF10,13,EAQHI,-0.07846731,0.03507338,0.02533794,-1,0,,,,,,,,,,,,,,,,
1304,MenF10,13,EAQHI,-0.120224936,0.046600056,0.009925054,-1,0,,,,,,,,,,,,,,,,
1424,MenM10,13,EAQHI,-0.0561556,0.04071857,0.16795317,0,0,,,,,,,,,,,,,,,,
1544,MenMF60,13,EAQHI,0.000589301,0.003361368,0.860842391,0,0,,,,,,,,,,,,,,,,
1664,MenF60,13,EAQHI,3.61345E-06,0.004666856,0.9993823,0,0,,,,,,,,,,,,,,,,
1784,MenM60,13,EAQHI,0.001114593,0.004458459,0.802606811,0,0,,,,,,,,,,,,,,,,
